MonitoringSite,obsYear,log_type,28-may,29-may,30-may,31-may,01-jun,02-jun,03-jun,04-jun,05-jun,06-jun,07-jun,08-jun,09-jun,10-jun,11-jun,12-jun,13-jun,14-jun,15-jun,16-jun,17-jun,18-jun,19-jun,20-jun,21-jun,22-jun,23-jun,24-jun,25-jun,26-jun,27-jun,28-jun,29-jun,30-jun,01-jul,02-jul,03-jul,04-jul,05-jul,06-jul,07-jul,08-jul,09-jul,10-jul,11-jul,12-jul,13-jul,14-jul,15-jul,16-jul,17-jul,18-jul,19-jul,20-jul,21-jul,22-jul,23-jul,24-jul,25-jul,26-jul,27-jul,28-jul,29-jul,30-jul,31-jul,01-aug,02-aug,03-aug
East Bay Mainland,2004,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2004,Total Effort Hours,,,,,,,,,,,,25,8,,7,16,20,16,15,28,31,34,20,35.5,35,20,16,27.5,9,30,,,,,28,25,,38,34,35,36,20,36.5,27,36,34,36,22,32,30,17.5,11,16,15.5,18,19.5,14,19.5,,,,,,,,,,
East Bay Mainland,2005,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2005,Total Effort Hours,,,,,,,,10,14,16.5,16,14,,,18,19,21,21,24,24,24,23,21,24,23,,23,18,12,24,24,24,12,24,,6,,24,24,24,,18,17,24,10,18,10,12,12,7,21,18,,15,15,,,,,,,,,,,,,
East Bay Mainland,2006,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2006,Total Effort Hours,,,,,,,,,,,,,,,,,55,55,30,30,55,50,,,55,30,8,50,55,60,50,55,55,55,20,50,50,45,50,55,5,35,50,50,40,45,30,40,10,40,30,40,20,16,,,,,,,,,,,,,,
East Bay Mainland,2007,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2007,Total Effort Hours,,,,,,,,,,,,,,,,,8,15,15,12,18,15,12,3,18,25,30,30,30,,20,15,35,35,30,32,32,25,20,6,15,24,30,30,35,35,20,12,28,15,30,40,40,40,35,25,35,15,12,15,16,,,,,,,
East Bay Mainland,2008,Number of Observers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Bay Mainland,2008,Total Effort Hours,,8,10,10,12,5,15,10,18,18,35,40,40,,15,30,25,20,1.5,40,40,45,45,30,40,40,40,40,40,,,50,55,50,18,12,12,15,12,45,50,52,52,52,50,48,50,48,50,14,33,27,15,34,35,28,10,15,,,,,,,,,,
